序号,作者,标题,点赞数,收藏数,评论数,封面 URL,笔记链接,正文内容,状态
1,别烦我,,192,12,27,https://sns-webpic-qc.xhscdn.com/202604052132/59e683bf45e107698b688732a0a38ce6/1040g2sg31ua9d3u22g905ovat6j9i9i600bg3ko!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/69c952b8000000002301f5c5,Claude：我恨中国人 我要笑晕了 #Claude,成功
2,neo的AI世界,上班摸鱼写了篇Claude code教程,3156,3011,2382,https://sns-webpic-qc.xhscdn.com/202604052133/853585e199d432a4ed56d800b5817e3d/notes_pre_post/1040g3k031uasjchv2q0g5p9q5r50rp0vpkagv50!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/69c9ee9b000000001f00537c,@知识薯 #vibecoding大赏#AI #AI编程 #AI工具 #AI产品经理 #vibecoding #claude #大模型 #智能体 #Agent,成功
3,Xi,claudecode恐怖如斯,1834,1093,218,https://sns-webpic-qc.xhscdn.com/202604052133/7e973630875c84f38dee7b2651a409ba/note_pre_post_uhdr/1040g3r031ucjtg3k2a705nnc3v9089ethmp20eo!nd_dft_wgth_webp_3,https://www.xiaohongshu.com/explore/69cbb436000000001a0311cd,我看了两周的文献和代码复现 他3分钟不到全部做完了 太可怕了，我好害怕 感觉自己的人力资本投资全部失败 不敢手搓下去了 求问还有什么震撼人心的agent或其他用法吗 #Claude #研究生 #ai,成功
4,ian,为什么程序员更喜欢codex而不是claude,860,955,311,https://sns-webpic-qc.xhscdn.com/202604052133/26c14b0ede36b0f66968b5c37cf3bed2/notes_pre_post/1040g3k831ubii019io504a0a6h5eho1r6blr1lo!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/69caa2650000000021039ba7,Codex 和 Claude 在编程任务中各有优势：Codex 适合精确修复和大规模重构，而 Claude 适合创意编码和原型设计。两者架构不同，训练哲学和产品形态也各有侧重，开发者可根据任务需求灵活选择。#大模型 #vibecoding大赏 #SOP框架课代表 #人工智能未来 #个人开发者 #AI人工智能 #转码,成功
5,靓靓的发声器,,48,19,92,https://sns-webpic-qc.xhscdn.com/202604052133/85c5fb93f48b9910c9fe01fbf5881842/1040g2sg31uhjincuiajg4a6ero1t8c5t1ti8mb0!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/69d0d025000000001a02cef2,claude不对外提供api了，现在还有中转说还能用claude的api的都是假的。想靠这个赚钱的可以想其他出路了,成功
6,机器之心,😱 AI地震！ClaudeCode 变开源了？,1431,778,269,https://sns-webpic-qc.xhscdn.com/202604052133/1c43d7bd9ba1b31cba875059c0dcd6b4/spectrum/1040g34o31uchsh5g2s105n3162ska4n8642s2a0!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/69cba1170000000021013da0,网传 Claude Code 的源码被大规模还原，导火索居然是发布 npm 包时遗留的 Source map。 这事儿不是黑客攻击，也不是员工误操作。 是构建产物里多带了一个「能反推源码关系」的文件，结果被人顺藤摸瓜。 目前社区流传的信息里，最扎眼的是这些： 🔶 相关 map 文件体积约 59.8MB 🔶 已有人声称还原并打包源码到公开平台 🔶 网传项目规模约 2300+ 文件 🔶 结构包含命令、组件、hooks、工具模块等 🔶 还出现了 cost-tracker.ts 这类疑似计费相关文件名 Anthropic 号称自己是全世界 AI 安全最强的公司，这...有点看不懂了。 #Claude #claudecode #AI #科技 #人工智能,成功
7,科研夏同学,Claude opus 4.6已用太强了【附教程,542,677,26,https://sns-webpic-qc.xhscdn.com/202604052133/d2560b9a92c05389d81b2673513f40e6/1040g2sg31ug8l4be2ofg5q3v96f6s5c8n6e22mo!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/69cceab1000000002800b07f,"最近大家都在说它无敌，试了一下 ，瞬间觉得之前用gemini出的提示词是在过家家...4.6真的太强了 claude4.6＋nanobanana2,还有谁能敌，秒出科研绘图，速度快又稳定，且质量和审美都在线，也太省时间了，自己画起码又得俩小时 操作如下： 你现在是一名专业且经验丰富的科研绘图设计师，请按照下面的文献内容生成BioRender风格（风格可写对应专业或用途常用的工具。例如，生物医学领域可写biorender风格）的机制图提示词，（上传文 🚶‍♀️具体步骤 ①将提示词发给claude，等待它给出绘图提示词 ②复制到nano ③等待出图，就这么简单 #博士 #人类高质量科研工具 #大模型 #科研绘图",成功
8,86年生的德善,Claude code for Windows安装方法,35,44,3,https://sns-webpic-qc.xhscdn.com/202604052133/3c9daa291a4f08c03f267a172ddfc36b/1040g2sg31uga7gc7iieg4b09mlr5l6agj0lviu8!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/69cf80da0000000021011a49,今天已经开始用Claude code试着做任务了，当完成了第一个网页的时候，我的手心是微微出汗的。 我一个电脑小白可以搞定的，相信大家都能搞定，安装过程中如遇问题，可以截图发给豆包寻求解决方案。 我摸索的安装步骤如下： 第一步，先安装Git for Windows（因为Claude Code深度依赖Git提供的底层能力和运行环境） 网址 git-scm.com 设置环境变量： 电脑→属性→高级系统设置→环境变量→用户变量，新建 变量名：CLAUDE_CODE_GIT_BASH_PATH 变量值：D:\Program Files\Git\bin\bash.exe（这里应为自己安装的实际路径） 第二步，安装Claude code 网址 https://claude.com/product/claude-code 找到以下指令 irm https://claude.ai/install.ps1 | iex 打开Windows PowerShell，将指令复制粘贴进PowerShell窗口，回车 就可以完成Claude code安装。 #vibecoding大赏 #vibecoding #科研 #科研日常 #ai #ai工具 #Claude #大学老师 #高校教师 #记录吧就现在,成功
9,沉迷学习的楠楠😈,字节讲的Claude code教程真的好清晰！,27,36,30,https://sns-webpic-qc.xhscdn.com/202604052133/a8603fc1009cab93e0b4bc118d47b00a/notes_pre_post/1040g3k031udgl1bgio204a5ve7881mm6gr6dmv8!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/69cca022000000001a02ccea,#大模型 #产品经理 #Agent #智能体 #Claudecode #AI工具 #Claude #AIAgent #互联网大厂 #AI产品经理,成功
10,不忘初心,Claude Code 可以 100% 本地免费运行,37,48,1,https://sns-webpic-qc.xhscdn.com/202604052133/e8c7778533eda5a02efeec00990157e4/notes_pre_post/1040g3k831ud8iie136dg5otmsoe9tegdmkr8nng!nd_dft_wlteh_webp_3,https://www.xiaohongshu.com/explore/69cc5cec0000000021006f39,Claude Code 可以 100% 本地免费运行（零 API 费用、无限使用、完全私密）！只需： 安装 Ollama（最新版） 安装 Claude Code CLI 运行：ollama launch claude （自动处理大部分配置） 或指定模型：ollama launch claude --model qwen3-coder（推荐编码模型） 界面和工具调用完全一样，但使用的是开源模型（非 Anthropic 原版 Claude），能力取决于所选模型和硬件。 适合隐私优先或不想付 API 费的用户！,成功
